MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,totalLivingArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,TypeOfPorch,Porchsqft,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
30,'C (all)',60,7879,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,1Story,4,5,1920,1950,Gable,'Wd Sdng','Wd Sdng',None,0,TA,TA,CBlock,TA,TA,No,Rec,495,Unf,225,720,GasA,TA,N,FuseA,720,0,720,1440,0,1,0,2,1,TA,4,0,NA,NA,?,NA,0,0,NA,NA,N,0,EnclosedPorch,638,GdWo,11,2009,WD,Abnorml,34900-124000
20,'C (all)',50,9000,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,1Story,2,3,1949,1950,Gable,AsbShng,AsbShng,None,0,TA,TA,CBlock,TA,TA,Av,BLQ,50,Unf,430,480,GasA,TA,N,FuseA,480,0,480,960,1,0,0,1,1,TA,4,0,NA,Detchd,1958,Unf,1,308,TA,TA,Y,0,None,0,NA,10,2006,WD,Abnorml,34900-124000
50,RM,50,5925,Reg,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,3,6,1910,1950,Gable,VinylSd,VinylSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,600,600,Grav,Fa,N,SBrkr,600,368,968,1568,0,1,0,2,1,TA,6,0,NA,NA,?,NA,0,0,NA,NA,Y,0,None,0,GdWo,5,2009,WD,Abnorml,34900-124000
20,RL,50,5000,Reg,Low,Inside,BrkSide,Norm,1Fam,1Story,1,3,1946,1950,Gable,VinylSd,VinylSd,None,0,Fa,Fa,Slab,NA,NA,NA,NA,0,NA,0,0,GasA,Fa,N,FuseF,334,0,334,334,0,1,0,1,1,Fa,2,0,NA,NA,?,NA,0,0,NA,NA,N,0,None,0,NA,1,2007,WD,Normal,34900-124000
70,'C (all)',50,8500,Reg,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,649,649,GasA,TA,N,SBrkr,649,668,1317,1966,0,1,0,3,1,TA,6,0,NA,Detchd,1920,Unf,1,250,TA,Fa,N,0,EnclosedPorch,226,MnPrv,7,2008,WD,Normal,34900-124000
30,RL,56,4130,IR1,Lvl,Inside,BrkSide,Norm,1Fam,1Story,3,6,1935,2003,Gable,VinylSd,VinylSd,None,0,Gd,TA,CBlock,TA,TA,No,Unf,0,Unf,270,270,GasA,Gd,Y,SBrkr,729,0,729,999,0,1,0,2,1,TA,5,0,NA,NA,?,NA,0,0,NA,NA,N,0,None,0,NA,7,2008,WD,Normal,34900-124000
30,RM,153,4118,IR1,Bnk,Corner,OldTown,Feedr,1Fam,1Story,4,4,1941,1950,Gable,'Wd Sdng','Wd Sdng',None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,693,693,Grav,Fa,N,FuseA,693,0,693,1386,0,1,0,2,1,Fa,4,0,NA,NA,?,NA,0,0,NA,NA,N,0,OpenPorch,20,NA,3,2006,WD,Normal,34900-124000
190,RM,70,5600,Reg,Lvl,Inside,IDOTRR,Norm,2fmCon,2Story,4,5,1930,1950,Hip,VinylSd,'Wd Shng',None,0,Fa,Fa,Slab,NA,NA,NA,NA,0,NA,0,0,GasA,Fa,N,SBrkr,372,720,1092,1092,0,2,0,3,2,Fa,7,0,NA,NA,?,NA,0,0,NA,NA,N,0,None,0,NA,7,2010,WD,Normal,34900-124000
30,RM,40,3636,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,1Story,4,4,1922,1950,Gable,AsbShng,AsbShng,None,0,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,796,796,GasA,Fa,N,SBrkr,796,0,796,1592,0,1,0,2,1,TA,5,0,NA,NA,?,NA,0,0,NA,NA,N,0,EnclosedPorch,100,MnPrv,1,2008,WD,Normal,34900-124000
20,'C (all)',66,8712,Reg,Bnk,Inside,IDOTRR,Norm,1Fam,1Story,5,5,1952,1952,Hip,'Wd Sdng','Wd Sdng',None,0,Fa,TA,CBlock,TA,TA,Av,Unf,0,Unf,540,540,GasA,TA,N,FuseA,1044,0,1044,1584,0,1,0,2,1,Fa,4,0,NA,Basment,1952,Unf,2,504,TA,TA,N,0,None,0,NA,6,2010,WD,Alloca,34900-124000
