Neighborhood,OverallQual,YearBuilt,YearRemodAdd,ExterQual,Foundation,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,totalLivingArea,FullBath,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SalePrice
IDOTRR,4,1920,1950,TA,CBlock,TA,720,720,720,1440,1,TA,4,NA,NA,?,NA,0,0,34900-124000
IDOTRR,2,1949,1950,TA,CBlock,TA,480,480,480,960,0,TA,4,NA,Detchd,1958,Unf,1,308,34900-124000
OldTown,3,1910,1950,TA,BrkTil,TA,600,600,968,1568,1,TA,6,NA,NA,?,NA,0,0,34900-124000
BrkSide,1,1946,1950,Fa,Slab,NA,0,334,334,334,1,Fa,2,NA,NA,?,NA,0,0,34900-124000
IDOTRR,4,1920,1950,TA,BrkTil,TA,649,649,1317,1966,1,TA,6,NA,Detchd,1920,Unf,1,250,34900-124000
BrkSide,3,1935,2003,Gd,CBlock,TA,270,729,729,999,1,TA,5,NA,NA,?,NA,0,0,34900-124000
OldTown,4,1941,1950,TA,CBlock,TA,693,693,693,1386,1,Fa,4,NA,NA,?,NA,0,0,34900-124000
IDOTRR,4,1930,1950,Fa,Slab,NA,0,372,1092,1092,2,Fa,7,NA,NA,?,NA,0,0,34900-124000
IDOTRR,4,1922,1950,TA,BrkTil,TA,796,796,796,1592,1,TA,5,NA,NA,?,NA,0,0,34900-124000
IDOTRR,5,1952,1952,Fa,CBlock,TA,540,1044,1044,1584,1,Fa,4,NA,Basment,1952,Unf,2,504,34900-124000
Edwards,3,1914,1950,TA,BrkTil,TA,864,864,864,1728,1,TA,5,NA,Detchd,1938,Unf,1,200,34900-124000
Edwards,5,1958,1958,TA,CBlock,TA,1276,1276,1276,2552,1,TA,5,NA,Attchd,1958,Unf,1,350,34900-124000
BrkSide,2,1936,1950,Fa,BrkTil,TA,264,800,800,1064,1,Fa,4,Po,NA,?,NA,0,0,34900-124000
SWISU,2,1920,1950,TA,CBlock,TA,290,438,438,728,1,Fa,3,NA,Detchd,1930,Unf,1,246,34900-124000
Edwards,1,1922,1950,Fa,BrkTil,Fa,683,904,904,1587,0,Fa,4,NA,NA,?,NA,0,0,34900-124000
Sawyer,5,1965,1965,TA,CBlock,TA,864,864,864,1728,1,TA,5,Po,Detchd,1965,Unf,1,360,34900-124000
OldTown,4,1927,2007,TA,BrkTil,TA,656,968,968,1624,2,TA,5,NA,Detchd,1928,Unf,1,216,34900-124000
OldTown,5,1941,1950,TA,CBlock,TA,676,676,1131,1807,1,TA,5,NA,Detchd,1941,Unf,1,200,34900-124000
IDOTRR,5,1920,1950,TA,BrkTil,Fa,961,1077,1077,2038,1,TA,6,NA,Detchd,1920,Unf,1,338,34900-124000
Edwards,3,1914,1950,TA,BrkTil,TA,864,864,864,1728,1,TA,5,NA,NA,?,NA,0,0,34900-124000
IDOTRR,4,1920,1950,TA,CBlock,TA,698,698,1128,1826,1,TA,6,NA,Detchd,1980,RFn,2,528,34900-124000
BrkSide,4,1927,1950,TA,BrkTil,TA,520,520,520,1040,1,Fa,4,NA,Detchd,1920,Unf,1,240,34900-124000
BrkSide,3,1949,1950,TA,CBlock,NA,0,720,720,720,1,TA,4,NA,Detchd,1955,Unf,1,287,34900-124000
OldTown,5,1925,2004,TA,BrkTil,Fa,680,764,764,1444,1,TA,4,NA,Detchd,1965,Unf,2,504,34900-124000
MeadowV,4,1970,1970,TA,CBlock,TA,546,546,1092,1638,1,TA,6,NA,Attchd,1970,Unf,1,286,34900-124000
MeadowV,4,1972,1972,TA,CBlock,Gd,630,630,630,1260,1,TA,3,NA,NA,?,NA,0,0,34900-124000
SawyerW,6,1928,1950,TA,BrkTil,Fa,784,784,784,1568,1,TA,5,NA,Detchd,1950,Unf,2,360,34900-124000
BrkSide,3,1940,1966,TA,CBlock,TA,728,1306,1306,2034,1,Fa,6,NA,NA,?,NA,0,0,34900-124000
IDOTRR,5,1920,1950,TA,PConc,TA,596,596,1192,1788,1,TA,6,NA,Detchd,1920,Unf,1,189,34900-124000
Edwards,6,1924,1950,TA,BrkTil,TA,572,572,1096,1668,1,TA,5,NA,NA,?,NA,0,0,34900-124000
OldTown,5,1900,1950,TA,BrkTil,TA,540,889,1440,1980,1,TA,6,NA,Attchd,1940,Unf,1,352,34900-124000
Edwards,3,1931,2006,TA,BrkTil,TA,544,774,774,1318,1,Gd,6,NA,NA,?,NA,0,0,34900-124000
BrkSide,5,1930,1960,TA,BrkTil,TA,742,779,935,1677,1,TA,4,NA,Detchd,1988,Unf,1,308,34900-124000
OldTown,6,1920,1998,TA,BrkTil,TA,901,1088,1198,2099,1,TA,7,NA,NA,?,NA,0,0,34900-124000
BrkSide,4,1926,1953,TA,PConc,Fa,600,747,747,1347,1,TA,5,NA,Detchd,1953,Unf,2,528,34900-124000
OldTown,4,1945,1950,TA,CBlock,TA,747,747,747,1494,1,TA,4,NA,Attchd,1945,Unf,1,220,34900-124000
MeadowV,4,1970,1970,TA,CBlock,Gd,630,630,630,1260,1,TA,3,NA,Attchd,1970,Unf,1,286,34900-124000
Sawyer,5,1959,1959,TA,CBlock,TA,1006,1006,1006,2012,1,TA,5,NA,NA,?,NA,0,0,34900-124000
Edwards,4,1941,1950,TA,BrkTil,Gd,672,672,924,1596,1,Fa,5,NA,Detchd,1941,Unf,1,280,34900-124000
BrkSide,4,1947,1950,TA,Slab,NA,0,672,912,912,1,TA,3,NA,NA,?,NA,0,0,34900-124000
Edwards,5,1910,1996,TA,PConc,TA,658,658,1184,1842,1,TA,8,NA,NA,?,NA,0,0,34900-124000
MeadowV,4,1972,1972,TA,CBlock,Gd,630,630,630,1260,1,TA,3,NA,NA,?,NA,0,0,34900-124000
IDOTRR,3,1935,1950,Fa,CBlock,TA,894,894,894,1788,1,TA,6,NA,Detchd,1994,RFn,3,1248,34900-124000
Edwards,4,1955,1955,TA,PConc,NA,0,1152,1152,1152,2,Fa,6,NA,NA,?,NA,0,0,34900-124000
SawyerW,4,1950,1950,Fa,CBlock,TA,721,841,841,1562,1,TA,4,NA,CarPort,1950,Unf,1,294,34900-124000
Edwards,3,1952,1952,TA,Slab,NA,0,944,944,944,1,Fa,4,NA,Detchd,1956,Unf,2,528,34900-124000
Edwards,4,1940,1950,TA,CBlock,TA,861,861,861,1722,1,TA,4,NA,Detchd,1961,Unf,2,539,34900-124000
NWAmes,7,1977,1977,TA,CBlock,TA,1386,1411,1411,2797,2,TA,6,TA,Attchd,1977,Fin,2,544,34900-124000
BrkSide,4,1940,1950,Fa,CBlock,TA,420,708,708,1128,1,Fa,5,NA,NA,?,NA,0,0,34900-124000
Edwards,5,1920,1950,TA,BrkTil,TA,458,835,835,1293,1,TA,5,NA,Basment,1920,Unf,1,366,34900-124000
BrDale,6,1973,1973,TA,CBlock,TA,483,483,987,1470,1,TA,5,NA,Detchd,1973,Unf,1,264,34900-124000
MeadowV,4,1973,1973,TA,CBlock,TA,546,546,1092,1638,1,TA,6,NA,Attchd,1973,RFn,1,286,34900-124000
Edwards,4,1957,1957,TA,Slab,NA,0,845,845,845,1,TA,5,NA,Detchd,1957,Unf,1,290,34900-124000
IDOTRR,6,1935,1982,TA,CBlock,TA,520,520,754,1274,1,TA,5,NA,NA,?,NA,0,0,34900-124000
MeadowV,4,1970,1970,TA,CBlock,Gd,630,630,630,1260,1,TA,3,NA,NA,?,NA,0,0,34900-124000
Mitchel,5,2006,2006,TA,PConc,Gd,1140,1140,1140,2280,1,TA,6,NA,NA,?,NA,0,0,34900-124000
Edwards,4,1946,2006,TA,CBlock,NA,0,930,930,930,1,Gd,6,NA,Detchd,1946,Unf,1,308,34900-124000
IDOTRR,3,1915,1982,Fa,CBlock,TA,1013,1013,1526,2539,1,Fa,6,NA,NA,?,NA,0,0,34900-124000
MeadowV,5,1976,1976,TA,CBlock,Gd,536,536,1112,1648,1,TA,4,NA,Attchd,1976,Unf,1,336,34900-124000
Edwards,5,1910,1950,TA,CBlock,Fa,796,796,796,1592,1,TA,4,NA,NA,?,NA,0,0,34900-124000
OldTown,5,1910,2006,TA,BrkTil,TA,1022,1022,1022,2044,1,TA,4,NA,Detchd,1956,Unf,1,280,34900-124000
BrDale,6,1971,1971,TA,CBlock,TA,483,483,987,1470,1,TA,4,NA,Detchd,1971,Unf,1,264,34900-124000
BrkSide,4,1923,1958,TA,PConc,Gd,440,869,869,1309,1,Fa,4,NA,NA,?,NA,0,0,34900-124000
MeadowV,4,1970,2002,TA,CBlock,Gd,630,630,630,1260,1,Gd,3,NA,Attchd,1970,Unf,1,286,34900-124000
Edwards,4,1920,2002,TA,BrkTil,TA,528,605,605,1133,1,TA,5,NA,NA,?,NA,0,0,34900-124000
OldTown,5,1920,1950,TA,BrkTil,Fa,691,691,691,1382,1,Ex,4,NA,Detchd,1920,Unf,1,216,34900-124000
OldTown,5,1930,1950,TA,BrkTil,TA,672,840,840,1512,1,TA,5,TA,NA,?,NA,0,0,34900-124000
IDOTRR,5,1941,1950,TA,CBlock,TA,720,803,803,1523,1,TA,5,NA,Detchd,1941,Unf,2,360,34900-124000
OldTown,4,1900,1950,TA,BrkTil,TA,1095,1095,1774,2869,2,TA,8,NA,2Types,1920,Unf,3,779,34900-124000
OldTown,5,1930,1950,TA,CBlock,TA,912,912,1248,2160,1,TA,6,NA,Detchd,1957,Unf,1,160,34900-124000
NAmes,3,1949,1950,TA,Slab,NA,0,1040,1040,1040,2,TA,6,NA,Detchd,1949,Unf,2,400,34900-124000
NAmes,4,1971,1971,TA,CBlock,TA,858,858,858,1716,1,TA,5,NA,NA,?,NA,0,0,34900-124000
BrDale,6,1971,1971,TA,CBlock,TA,525,525,1092,1617,1,TA,6,NA,Detchd,1971,Unf,1,264,34900-124000
BrkSide,5,1925,1950,TA,BrkTil,TA,768,1015,1015,1783,1,TA,6,NA,Detchd,1925,Unf,1,450,34900-124000
MeadowV,4,1970,1970,TA,CBlock,TA,546,546,1092,1638,1,TA,6,NA,Attchd,1970,RFn,1,286,34900-124000
BrkSide,5,1921,1950,TA,CBlock,TA,616,616,616,1232,1,TA,4,NA,Detchd,1921,Unf,1,205,34900-124000
OldTown,4,1937,2000,TA,BrkTil,Fa,907,1131,1131,2038,1,TA,7,NA,Detchd,1995,Unf,2,672,34900-124000
BrDale,6,1971,1971,TA,CBlock,TA,483,483,987,1470,1,TA,5,NA,Detchd,1971,Unf,1,264,34900-124000
IDOTRR,6,1920,1950,TA,CBlock,TA,319,1035,1406,1725,1,Fa,6,NA,NA,?,NA,0,0,34900-124000
Sawyer,4,1967,1967,TA,Slab,NA,0,1296,1296,1296,2,TA,6,NA,CarPort,1967,Unf,2,516,34900-124000
OldTown,5,1900,1950,TA,BrkTil,TA,662,1422,2337,2999,2,TA,10,NA,Detchd,1945,Unf,2,560,34900-124000
NAmes,4,1949,1950,TA,Slab,NA,0,1040,1040,1040,2,TA,6,NA,Detchd,1956,Unf,2,420,34900-124000
Crawfor,5,1913,2002,TA,PConc,TA,440,694,694,1134,1,Gd,4,Gd,Detchd,1990,Unf,1,352,34900-124000
MeadowV,4,1973,1973,TA,CBlock,Gd,462,526,988,1450,1,TA,5,NA,BuiltIn,1973,Unf,1,297,34900-124000
IDOTRR,3,1922,1950,TA,BrkTil,TA,1007,1077,1077,2084,1,TA,6,Gd,Detchd,1922,Unf,1,210,34900-124000
SWISU,6,1930,1950,TA,BrkTil,Gd,768,790,790,1558,1,TA,4,NA,Detchd,1925,Unf,1,160,34900-124000
OldTown,5,1938,1996,TA,BrkTil,Fa,190,886,886,1076,1,TA,4,NA,Attchd,1938,Unf,1,273,34900-124000
